handle,title,body_html,vendor,type,tags,published,option1_name,option1_value,option2_name,option2_value,option3_name,option3_value,sku,weight,inventory_tracker,inventory_quantity,inventory_policy,fulfillment_service,price,compare_at_price,requires_shipping,taxable,barcode,image_src,image_alt,gift_card
bobby-straight-recycled-renegade-mens-jean,Bobby Renegade Mens Jean,"Now something for the eco-conscious denim fan who doesn't skimp on style either. The Bobby recycled jean combines an on-trend denim look with eco-friendly material. The Recycled Renegade denim group features fabric comprised of recycled bottle yarn for the fill and the resulting jean is a piece that maintains our signature style and comfort while reducing our footprint. The yarn in contrast brown creates a unique slub texture in the fabric and becomes more intense after the garment is dyed. Surprisingly, the resulting hand is incredibly soft, not stiff like most recycled fabrics and is durable enough to withstand a considerable amount of wear.",True Religion,Jeans,"28,29,30,31,32,33,34",TRUE,Size,28,Leg,30,,,,0,,0,deny,manual,257.40,,True,True,,http://cdn.shopify.com/s/files/1/0383/9765/products/002a.jpeg?v=1401811042,,False
bobby-straight-recycled-renegade-mens-jean,Bobby Renegade Mens Jean,"Now something for the eco-conscious denim fan who doesn't skimp on style either. The Bobby recycled jean combines an on-trend denim look with eco-friendly material. The Recycled Renegade denim group features fabric comprised of recycled bottle yarn for the fill and the resulting jean is a piece that maintains our signature style and comfort while reducing our footprint. The yarn in contrast brown creates a unique slub texture in the fabric and becomes more intense after the garment is dyed. Surprisingly, the resulting hand is incredibly soft, not stiff like most recycled fabrics and is durable enough to withstand a considerable amount of wear.",True Religion,Jeans,"28,29,30,31,32,33,34",TRUE,Size,28,Leg,32,,,,0,,1,deny,manual,257.40,,True,True,,http://cdn.shopify.com/s/files/1/0383/9765/products/002a.jpeg?v=1401811042,,False
bobby-straight-recycled-renegade-mens-jean,Bobby Renegade Mens Jean,"Now something for the eco-conscious denim fan who doesn't skimp on style either. The Bobby recycled jean combines an on-trend denim look with eco-friendly material. The Recycled Renegade denim group features fabric comprised of recycled bottle yarn for the fill and the resulting jean is a piece that maintains our signature style and comfort while reducing our footprint. The yarn in contrast brown creates a unique slub texture in the fabric and becomes more intense after the garment is dyed. Surprisingly, the resulting hand is incredibly soft, not stiff like most recycled fabrics and is durable enough to withstand a considerable amount of wear.",True Religion,Jeans,"28,29,30,31,32,33,34",TRUE,Size,28,Leg,33,,,,0,,1,deny,manual,257.40,,True,True,,http://cdn.shopify.com/s/files/1/0383/9765/products/002a.jpeg?v=1401811042,,False
bobby-straight-recycled-renegade-mens-jean,Bobby Renegade Mens Jean,"Now something for the eco-conscious denim fan who doesn't skimp on style either. The Bobby recycled jean combines an on-trend denim look with eco-friendly material. The Recycled Renegade denim group features fabric comprised of recycled bottle yarn for the fill and the resulting jean is a piece that maintains our signature style and comfort while reducing our footprint. The yarn in contrast brown creates a unique slub texture in the fabric and becomes more intense after the garment is dyed. Surprisingly, the resulting hand is incredibly soft, not stiff like most recycled fabrics and is durable enough to withstand a considerable amount of wear.",True Religion,Jeans,"28,29,30,31,32,33,34",TRUE,Size,28,Leg,34,,,,0,,1,deny,manual,257.40,,True,True,,http://cdn.shopify.com/s/files/1/0383/9765/products/002a.jpeg?v=1401811042,,False
bobby-straight-recycled-renegade-mens-jean,Bobby Renegade Mens Jean,"Now something for the eco-conscious denim fan who doesn't skimp on style either. The Bobby recycled jean combines an on-trend denim look with eco-friendly material. The Recycled Renegade denim group features fabric comprised of recycled bottle yarn for the fill and the resulting jean is a piece that maintains our signature style and comfort while reducing our footprint. The yarn in contrast brown creates a unique slub texture in the fabric and becomes more intense after the garment is dyed. Surprisingly, the resulting hand is incredibly soft, not stiff like most recycled fabrics and is durable enough to withstand a considerable amount of wear.",True Religion,Jeans,"28,29,30,31,32,33,34",TRUE,Size,29,Leg,30,,,,0,,1,deny,manual,257.40,,True,True,,http://cdn.shopify.com/s/files/1/0383/9765/products/002a.jpeg?v=1401811042,,False
bobby-straight-recycled-renegade-mens-jean,Bobby Renegade Mens Jean,"Now something for the eco-conscious denim fan who doesn't skimp on style either. The Bobby recycled jean combines an on-trend denim look with eco-friendly material. The Recycled Renegade denim group features fabric comprised of recycled bottle yarn for the fill and the resulting jean is a piece that maintains our signature style and comfort while reducing our footprint. The yarn in contrast brown creates a unique slub texture in the fabric and becomes more intense after the garment is dyed. Surprisingly, the resulting hand is incredibly soft, not stiff like most recycled fabrics and is durable enough to withstand a considerable amount of wear.",True Religion,Jeans,"28,29,30,31,32,33,34",TRUE,Size,29,Leg,32,,,,0,,1,deny,manual,257.40,,True,True,,http://cdn.shopify.com/s/files/1/0383/9765/products/002a.jpeg?v=1401811042,,False
bobby-straight-recycled-renegade-mens-jean,Bobby Renegade Mens Jean,"Now something for the eco-conscious denim fan who doesn't skimp on style either. The Bobby recycled jean combines an on-trend denim look with eco-friendly material. The Recycled Renegade denim group features fabric comprised of recycled bottle yarn for the fill and the resulting jean is a piece that maintains our signature style and comfort while reducing our footprint. The yarn in contrast brown creates a unique slub texture in the fabric and becomes more intense after the garment is dyed. Surprisingly, the resulting hand is incredibly soft, not stiff like most recycled fabrics and is durable enough to withstand a considerable amount of wear.",True Religion,Jeans,"28,29,30,31,32,33,34",TRUE,Size,29,Leg,33,,,,0,,1,deny,manual,257.40,,True,True,,http://cdn.shopify.com/s/files/1/0383/9765/products/002a.jpeg?v=1401811042,,False
bobby-straight-recycled-renegade-mens-jean,Bobby Renegade Mens Jean,"Now something for the eco-conscious denim fan who doesn't skimp on style either. The Bobby recycled jean combines an on-trend denim look with eco-friendly material. The Recycled Renegade denim group features fabric comprised of recycled bottle yarn for the fill and the resulting jean is a piece that maintains our signature style and comfort while reducing our footprint. The yarn in contrast brown creates a unique slub texture in the fabric and becomes more intense after the garment is dyed. Surprisingly, the resulting hand is incredibly soft, not stiff like most recycled fabrics and is durable enough to withstand a considerable amount of wear.",True Religion,Jeans,"28,29,30,31,32,33,34",TRUE,Size,29,Leg,34,,,,0,,1,deny,manual,257.40,,True,True,,http://cdn.shopify.com/s/files/1/0383/9765/products/002a.jpeg?v=1401811042,,False
bobby-straight-recycled-renegade-mens-jean,Bobby Renegade Mens Jean,"Now something for the eco-conscious denim fan who doesn't skimp on style either. The Bobby recycled jean combines an on-trend denim look with eco-friendly material. The Recycled Renegade denim group features fabric comprised of recycled bottle yarn for the fill and the resulting jean is a piece that maintains our signature style and comfort while reducing our footprint. The yarn in contrast brown creates a unique slub texture in the fabric and becomes more intense after the garment is dyed. Surprisingly, the resulting hand is incredibly soft, not stiff like most recycled fabrics and is durable enough to withstand a considerable amount of wear.",True Religion,Jeans,"28,29,30,31,32,33,34",TRUE,Size,30,Leg,30,,,,0,,1,deny,manual,257.40,,True,True,,http://cdn.shopify.com/s/files/1/0383/9765/products/002a.jpeg?v=1401811042,,False
bobby-straight-recycled-renegade-mens-jean,Bobby Renegade Mens Jean,"Now something for the eco-conscious denim fan who doesn't skimp on style either. The Bobby recycled jean combines an on-trend denim look with eco-friendly material. The Recycled Renegade denim group features fabric comprised of recycled bottle yarn for the fill and the resulting jean is a piece that maintains our signature style and comfort while reducing our footprint. The yarn in contrast brown creates a unique slub texture in the fabric and becomes more intense after the garment is dyed. Surprisingly, the resulting hand is incredibly soft, not stiff like most recycled fabrics and is durable enough to withstand a considerable amount of wear.",True Religion,Jeans,"28,29,30,31,32,33,34",TRUE,Size,30,Leg,32,,,,0,,1,deny,manual,257.40,,True,True,,http://cdn.shopify.com/s/files/1/0383/9765/products/002a.jpeg?v=1401811042,,False
